YEAR,MO,DY,CLRSKY_SFC_SW_DWN
2020,9,9,6.91
2020,9,10,6.81
2020,9,11,6.74
2020,9,12,6.88
2020,9,13,6.89
2020,9,14,6.85
2020,9,15,6.54
2020,9,16,6.6
2020,9,17,6.91
2020,9,18,7.01
2020,9,19,6.71
2020,9,20,7.09
2020,9,21,7.06
2020,9,22,7.01
2020,9,23,6.73
2020,9,24,6.88
2020,9,25,6.9
2020,9,26,7.08
2020,9,27,6.84
2020,9,28,6.77
2020,9,29,6.56
2020,9,30,6.94
2020,10,1,7
2020,10,2,6.88
2020,10,3,6.86
2020,10,4,6.79
2020,10,5,6.8
2020,10,6,6.85
2020,10,7,6.8
2020,10,8,6.63
2020,10,9,6.34
2020,10,10,6.62
2020,10,11,6.92
2020,10,12,6.85
2020,10,13,6.86
2020,10,14,6.76
2020,10,15,6.84
2020,10,16,6.77
2020,10,17,6.74
2020,10,18,6.84
2020,10,19,6.76
2020,10,20,6.94
2020,10,21,6.86
2020,10,22,6.85
2020,10,23,6.77
2020,10,24,6.41
2020,10,25,6.71
2020,10,26,6.69
2020,10,27,6.81
2020,10,28,6.93
2020,10,29,6.74
2020,10,30,6.8
2020,10,31,6.66
2020,11,1,6.72
2020,11,2,6.75
2020,11,3,6.63
2020,11,4,6.63
2020,11,5,6.51
2020,11,6,6.69
2020,11,7,6.49
2020,11,8,6.6
2020,11,9,6.57
2020,11,10,6.7
2020,11,11,6.62
2020,11,12,6.55
2020,11,13,6.72
2020,11,14,6.65
2020,11,15,6.76
2020,11,16,6.69
2020,11,17,6.47
2020,11,18,6.37
2020,11,19,6.43
2020,11,20,6.42
2020,11,21,6.53
2020,11,22,6.54
2020,11,23,6.28
2020,11,24,6.33
2020,11,25,6.39
2020,11,26,6.55
2020,11,27,6.37
2020,11,28,6.44
2020,11,29,6.44
2020,11,30,6.36
2020,12,1,6.51
2020,12,2,6.31
2020,12,3,6.53
2020,12,4,6.44
2020,12,5,6.37
2020,12,6,6.46
2020,12,7,6.44
2020,12,8,6.6
2020,12,9,6.49
2020,12,10,6.48
2020,12,11,6.51
2020,12,12,5.93
2020,12,13,6.23
2020,12,14,6.29
2020,12,15,6.15
2020,12,16,6.26
2020,12,17,6.43
2020,12,18,6.48
2020,12,19,6.24
2020,12,20,6.43
2020,12,21,6.47
2020,12,22,6.5
2020,12,23,6.57
2020,12,24,6.37
2020,12,25,6.25
2020,12,26,6.37
2020,12,27,6.17
2020,12,28,6.42
2020,12,29,6.29
2020,12,30,6.19
2020,12,31,6.13
