YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,DATE
2020,6,25,1.33,2020-06-25
2020,6,26,1.05,2020-06-26
2020,6,27,1.18,2020-06-27
2020,6,28,1.93,2020-06-28
2020,6,29,2.25,2020-06-29
2020,6,30,1.03,2020-06-30
2020,7,1,2.05,2020-07-01
2020,7,2,1.77,2020-07-02
2020,7,3,2.34,2020-07-03
2020,7,4,2.05,2020-07-04
2020,7,5,1.79,2020-07-05
2020,7,6,2.38,2020-07-06
2020,7,7,1.01,2020-07-07
2020,7,8,1.96,2020-07-08
2020,7,9,1.39,2020-07-09
2020,7,10,1.52,2020-07-10
2020,7,11,1.84,2020-07-11
2020,7,12,2.24,2020-07-12
2020,7,13,2.09,2020-07-13
2020,7,14,1.3,2020-07-14
2020,7,15,2.08,2020-07-15
2020,7,16,1.93,2020-07-16
2020,7,17,2.16,2020-07-17
2020,7,18,1.52,2020-07-18
2020,7,19,1.99,2020-07-19
2020,7,20,1.84,2020-07-20
2020,7,21,2.21,2020-07-21
2020,7,22,1.23,2020-07-22
2020,7,23,1.25,2020-07-23
2020,7,24,2.07,2020-07-24
2020,7,25,2.21,2020-07-25
2020,7,26,1.86,2020-07-26
2020,7,27,1.85,2020-07-27
2020,7,28,1.88,2020-07-28
2020,7,29,1.95,2020-07-29
2020,7,30,1.6,2020-07-30
2020,7,31,2.2,2020-07-31
2020,8,1,2.43,2020-08-01
2020,8,2,1.65,2020-08-02
2020,8,3,2.05,2020-08-03
2020,8,4,1.77,2020-08-04
2020,8,5,0.91,2020-08-05
2020,8,6,1.87,2020-08-06
2020,8,7,2.42,2020-08-07
2020,8,8,2.26,2020-08-08
2020,8,9,2.16,2020-08-09
2020,8,10,2.48,2020-08-10
2020,8,11,2.46,2020-08-11
2020,8,12,1.81,2020-08-12
2020,8,13,2.18,2020-08-13
2020,8,14,2.42,2020-08-14
2020,8,15,2.01,2020-08-15
2020,8,16,2.08,2020-08-16
2020,8,17,2.77,2020-08-17
2020,8,18,2.18,2020-08-18
2020,8,19,1.79,2020-08-19
2020,8,20,1.95,2020-08-20
2020,8,21,2.31,2020-08-21
2020,8,22,2.34,2020-08-22
2020,8,23,2.16,2020-08-23
2020,8,24,2.23,2020-08-24
2020,8,25,2.42,2020-08-25
2020,8,26,1.57,2020-08-26
2020,8,27,2.3,2020-08-27
2020,8,28,2.18,2020-08-28
2020,8,29,2.13,2020-08-29
2020,8,30,2.48,2020-08-30
2020,8,31,0.99,2020-08-31
2020,9,1,2.28,2020-09-01
2020,9,2,1.39,2020-09-02
2020,9,3,2.34,2020-09-03
2020,9,4,2.19,2020-09-04
2020,9,5,1.31,2020-09-05
2020,9,6,2.07,2020-09-06
2020,9,7,1.96,2020-09-07
2020,9,8,2.18,2020-09-08
2020,9,9,2.31,2020-09-09
2020,9,10,1.55,2020-09-10
2020,9,11,1.36,2020-09-11
2020,9,12,1.84,2020-09-12
2020,9,13,1.91,2020-09-13
2020,9,14,1.26,2020-09-14
2020,9,15,1.99,2020-09-15
2020,9,16,2.2,2020-09-16
2020,9,17,2.55,2020-09-17
2020,9,18,2.72,2020-09-18
2020,9,19,0.62,2020-09-19
2020,9,20,2.86,2020-09-20
2020,9,21,2.23,2020-09-21
2020,9,22,2.17,2020-09-22
2020,9,23,2.42,2020-09-23
2020,9,24,2.45,2020-09-24
2020,9,25,1.45,2020-09-25
2020,9,26,2.2,2020-09-26
2020,9,27,1.95,2020-09-27
2020,9,28,1.99,2020-09-28
2020,9,29,2.03,2020-09-29
2020,9,30,2.77,2020-09-30
2020,10,1,2.58,2020-10-01
2020,10,2,2.36,2020-10-02
2020,10,3,2.46,2020-10-03
2020,10,4,0.89,2020-10-04
2020,10,5,2.09,2020-10-05
2020,10,6,2.4,2020-10-06
2020,10,7,2.02,2020-10-07
2020,10,8,1.79,2020-10-08
2020,10,9,1.76,2020-10-09
2020,10,10,2.25,2020-10-10
2020,10,11,2.47,2020-10-11
2020,10,12,1.7,2020-10-12
2020,10,13,2.46,2020-10-13
2020,10,14,1.91,2020-10-14
2020,10,15,2.37,2020-10-15
2020,10,16,2.06,2020-10-16
2020,10,17,2.27,2020-10-17
2020,10,18,2.15,2020-10-18
2020,10,19,2.13,2020-10-19
2020,10,20,2.38,2020-10-20
2020,10,21,2.16,2020-10-21
2020,10,22,2.37,2020-10-22
2020,10,23,1.81,2020-10-23
